"",Jahr,Ressort,Land,Projekt,Volumen,Haushaltstitel,"Art derMaßnahme"
"",2008,BMZ,Afghanistan,Gender Mainstreaming,"1.275.641,83 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"1.917.299,35 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Programm für nachhaltige Wirtschaftsentwicklung Kabul,"2.118.558,90 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Programm zur KMU-Förderung und lokalen Wirtschaftsentwicklung in Nordafghanistan,"2.032.194,83 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Aufbau von Basisinfrastruktur und Schaffung von Einkommen in ländlichen Regionen,"6.344.913,26 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,"Sicherheitssystem für GTZ, DED, InWEnt und KfW","342.114,49 €",2301/89603,zivil
"",2008,BMZ,Afghanistan,Unterstützung der Entwicklung des staatlichen Medienkonzerns RTA zu einer pluralistischen Berichterstattung,"50.561,77 €",2302/68508,zivil
"",2008,BMZ,Afghanistan,Sektorprogramm Medienförderung,"101.175,00 €",2302/68541,zivil
"",2008,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"413.473,91 €",2302/68703,zivil
"",2008,BMZ,Afghanistan,Länderprogramm Afghanistan und Pakistan,"524.307,71 €",2302/68704,zivil
"",2008,BMZ,Afghanistan,Fortbildung von Fach- und Führungskräften,"339.086,10 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"311.137,87 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Grundlegende Versorgung im Bereich Trinkwasser und Abwasser,"313.134,18 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Elektrizitätserzeugung/ erneuerbare Energien,"150.686,18 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Bildungseinrichtungen und Fortbildung,"122.059,59 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,"Zivile Friedensentwicklung, Krisenprävention und Konfliktlösung","7.276,46 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Freier Informationsfluss,"101.434,54 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Berufliche Bildung,"157.422,65 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Wiederaufbauhilfe -und Wiederherstellungsmaßnahmen,"131.001,12 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"168.045,07 €",2302/68740,zivil
"",2008,BMZ,Afghanistan,Leistungen an lokale und regionale NRO,"9.184,19 €",2302/68740,zivil
